time,groupeId,uid
1717943946688,tT8yKDzWw4zoQtl2g6gm,g1Os1DQ1U9UxVfYBnLKIl03XTEm2
1716792325832,H1rNSqdq9p7Ptonzir0W,FHqdFsrj4ZYPZL6AvuSUjOHnSiL2
1716036976076,Initial,03HAO5vU6BOlF3NSeYVTzyRaJ6W2
1716465883229,eOl1l1Abvz8xoq5ABwtt,axYHQ2yjnTdwLf6R7eP5LKm82Y53
1716792423178,atJ7z1W4KzLIoNJZFrY9,FHqdFsrj4ZYPZL6AvuSUjOHnSiL2
1716773270457,atJ7z1W4KzLIoNJZFrY9,g1Os1DQ1U9UxVfYBnLKIl03XTEm2
1716773274815,uYQhDPTqxbOSjzxNOimn,g1Os1DQ1U9UxVfYBnLKIl03XTEm2
1717063088042,Initial,X5pSoHXR7oa4XH90Mg3huDaWASt1
1717063140427,R3XawjusHQ57Mla9yIcm,X5pSoHXR7oa4XH90Mg3huDaWASt1
1717449074873,R3XawjusHQ57Mla9yIcm,7odmEfSWmpOK0yXpKAux6oD84n33
1717777894892,H1rNSqdq9p7Ptonzir0W,VACXPdk4TsUF70UeduW2icfq9X62
1716027943695,atJ7z1W4KzLIoNJZFrY9,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
1716536372439,H1rNSqdq9p7Ptonzir0W,OFfw0tOPqLfFbMCfwNoVYcxKNJf1
1716106904837,fNm6RTc6SfFtjJ73hnTx,zAUbebwMo3TY8MqBKBldpDeyIUb2
1716127522305,Initial,z5Vl3tUSRgalHfSho6JFNkpjxpn1
1717604902540,tT8yKDzWw4zoQtl2g6gm,313VQeWKBWVSt90xfJKK0Y803ga2
1716106851524,H1rNSqdq9p7Ptonzir0W,zAUbebwMo3TY8MqBKBldpDeyIUb2
1716810864255,H1rNSqdq9p7Ptonzir0W,UA1M59C8H0UtN5oIYKGV9DYoXVI2
1715875040220,48Oxzwdhu2crSuSb9jyD,hA911Hr90KPbY6yO0OACx8tP2NE2
1714838937859,eOl1l1Abvz8xoq5ABwtt,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
1717605275648,atJ7z1W4KzLIoNJZFrY9,313VQeWKBWVSt90xfJKK0Y803ga2
1716028004692,Initial,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
1717964177135,fNm6RTc6SfFtjJ73hnTx,313VQeWKBWVSt90xfJKK0Y803ga2
1717063062472,H1rNSqdq9p7Ptonzir0W,X5pSoHXR7oa4XH90Mg3huDaWASt1
1717605107109,tT8yKDzWw4zoQtl2g6gm,313VQeWKBWVSt90xfJKK0Y803ga2
1717613029048,R3XawjusHQ57Mla9yIcm,313VQeWKBWVSt90xfJKK0Y803ga2
1716773264344,NMm07ka3XBMO7S0N6T7y,g1Os1DQ1U9UxVfYBnLKIl03XTEm2
1717605211117,NMm07ka3XBMO7S0N6T7y,313VQeWKBWVSt90xfJKK0Y803ga2
1717354064450,Initial,RM7mi4SVvGhIydxwmmt6djQQL3D3
1716106847697,eOl1l1Abvz8xoq5ABwtt,zAUbebwMo3TY8MqBKBldpDeyIUb2
1716773258974,tT8yKDzWw4zoQtl2g6gm,g1Os1DQ1U9UxVfYBnLKIl03XTEm2
1717006230117,eOl1l1Abvz8xoq5ABwtt,DFZU3UfzhgRM1sHo3poKO1nioqF2
1716792426095,uYQhDPTqxbOSjzxNOimn,FHqdFsrj4ZYPZL6AvuSUjOHnSiL2
1716831112798,eOl1l1Abvz8xoq5ABwtt,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
1716534679860,H1rNSqdq9p7Ptonzir0W,NaPJhyyglGO5W5en9C6P4BoUXof2
1717490430864,48Oxzwdhu2crSuSb9jyD,xAMdtkw2WJcF7BJ2cPyscJzMosa2
1714838933477,Initial,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
1717852795735,H1rNSqdq9p7Ptonzir0W,FHqdFsrj4ZYPZL6AvuSUjOHnSiL2
1716831113330,H1rNSqdq9p7Ptonzir0W,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
1717062776995,H1rNSqdq9p7Ptonzir0W,X5pSoHXR7oa4XH90Mg3huDaWASt1
