uid,date,total_session_duration_in_seconds
qMHVQGPKvNMdZLX8YnPH29ZYoyG3,2024-05-04,11299.783
qMHVQGPKvNMdZLX8YnPH29ZYoyG3,2024-05-07,264281.302
qMHVQGPKvNMdZLX8YnPH29ZYoyG3,2024-05-12,436698.145
qMHVQGPKvNMdZLX8YnPH29ZYoyG3,2024-05-13,91616.061
qMHVQGPKvNMdZLX8YnPH29ZYoyG3,2024-05-14,80017.33899999999
qMHVQGPKvNMdZLX8YnPH29ZYoyG3,2024-05-16,151844.80800000002
qMHVQGPKvNMdZLX8YnPH29ZYoyG3,2024-05-17,91208.556
qMHVQGPKvNMdZLX8YnPH29ZYoyG3,2024-05-18,102432.633
qMHVQGPKvNMdZLX8YnPH29ZYoyG3,2024-05-19,84950.84
qMHVQGPKvNMdZLX8YnPH29ZYoyG3,2024-05-21,166242.842
qMHVQGPKvNMdZLX8YnPH29ZYoyG3,2024-05-25,345014.153
qMHVQGPKvNMdZLX8YnPH29ZYoyG3,2024-05-27,179381.652
qMHVQGPKvNMdZLX8YnPH29ZYoyG3,2024-05-29,178002.123
qMHVQGPKvNMdZLX8YnPH29ZYoyG3,2024-06-03,430609.803
qMHVQGPKvNMdZLX8YnPH29ZYoyG3,2024-06-05,175003.611
qMHVQGPKvNMdZLX8YnPH29ZYoyG3,2024-06-07,169502.749
qnoyxSpFl7QfKaTyOGAp9Qkm5lM2,2024-06-07,8225.723
r4uAkw35sxMJVTxx21DUWW4P5HB3,2024-06-04,196.873
sJHi3tHqLLOnTwSlvhvLGIKeimD2,2024-06-04,3957.875
sJHi3tHqLLOnTwSlvhvLGIKeimD2,2024-06-08,337337.822
t9cM4WpKxdhhI6qYJ4hOJv3klds2,2024-05-15,944.2410000000001
uAncaFrlwHdOlav3P7h4cAm3bMJ3,2024-05-16,4318.264
uAncaFrlwHdOlav3P7h4cAm3bMJ3,2024-05-17,65023.458
uXAgoC9mauMMGQMahyxiuHhGnGJ3,2024-05-22,531.071
uXnnBb0D5yZiOrroCy3JCZ6FxPR2,2024-05-16,19026.406
uXnnBb0D5yZiOrroCy3JCZ6FxPR2,2024-05-18,179356.747
uXnnBb0D5yZiOrroCy3JCZ6FxPR2,2024-05-21,256887.538
uXnnBb0D5yZiOrroCy3JCZ6FxPR2,2024-05-22,40402.543000000005
uXnnBb0D5yZiOrroCy3JCZ6FxPR2,2024-05-25,301498.565
uXnnBb0D5yZiOrroCy3JCZ6FxPR2,2024-05-28,262192.47500000003
uXnnBb0D5yZiOrroCy3JCZ6FxPR2,2024-05-29,25799.832000000002
uXnnBb0D5yZiOrroCy3JCZ6FxPR2,2024-06-01,264836.484
uXnnBb0D5yZiOrroCy3JCZ6FxPR2,2024-06-02,123115.182
uemnt3PK12UzfqRGT2c5YkrPJMr1,2024-05-20,74.309
vTXv1CGFmNZy9lQOOMKMj0tkZxh2,2024-05-19,0.0
