uid,date,session_id,session_duration_in_seconds
IwXqh3xp8hThQlDQH6wLJo39eS02,2024-05-06,9.0,139579.577
IwXqh3xp8hThQlDQH6wLJo39eS02,2024-05-07,10.0,120700.656
IwXqh3xp8hThQlDQH6wLJo39eS02,2024-05-07,11.0,2539.864
IwXqh3xp8hThQlDQH6wLJo39eS02,2024-05-09,12.0,147087.41999999998
IwXqh3xp8hThQlDQH6wLJo39eS02,2024-05-10,13.0,106894.024
IwXqh3xp8hThQlDQH6wLJo39eS02,2024-05-10,14.0,5712.015
IwXqh3xp8hThQlDQH6wLJo39eS02,2024-05-13,15.0,221423.275
IwXqh3xp8hThQlDQH6wLJo39eS02,2024-05-13,16.0,7345.045
IwXqh3xp8hThQlDQH6wLJo39eS02,2024-05-13,17.0,43540.732
IwXqh3xp8hThQlDQH6wLJo39eS02,2024-05-14,18.0,46774.186
IwXqh3xp8hThQlDQH6wLJo39eS02,2024-05-14,19.0,4040.604
IwXqh3xp8hThQlDQH6wLJo39eS02,2024-05-14,20.0,14534.554
IwXqh3xp8hThQlDQH6wLJo39eS02,2024-05-17,21.0,259686.61000000002
IwXqh3xp8hThQlDQH6wLJo39eS02,2024-05-18,22.0,75251.092
IwXqh3xp8hThQlDQH6wLJo39eS02,2024-05-21,23.0,270471.587
IwXqh3xp8hThQlDQH6wLJo39eS02,2024-05-22,24.0,88011.789
IwXqh3xp8hThQlDQH6wLJo39eS02,2024-05-23,25.0,83022.117
IwXqh3xp8hThQlDQH6wLJo39eS02,2024-05-23,26.0,13708.923
IwXqh3xp8hThQlDQH6wLJo39eS02,2024-05-25,27.0,172597.84
IwXqh3xp8hThQlDQH6wLJo39eS02,2024-05-25,28.0,3234.616
IwXqh3xp8hThQlDQH6wLJo39eS02,2024-05-26,29.0,80394.274
IwXqh3xp8hThQlDQH6wLJo39eS02,2024-05-27,30.0,85001.273
IwXqh3xp8hThQlDQH6wLJo39eS02,2024-05-27,31.0,1898.5410000000002
IwXqh3xp8hThQlDQH6wLJo39eS02,2024-05-28,32.0,70596.431
IwXqh3xp8hThQlDQH6wLJo39eS02,2024-05-29,33.0,67088.959
IwXqh3xp8hThQlDQH6wLJo39eS02,2024-05-29,34.0,38322.306000000004
IwXqh3xp8hThQlDQH6wLJo39eS02,2024-05-30,35.0,76230.621
IwXqh3xp8hThQlDQH6wLJo39eS02,2024-05-31,36.0,74490.21
IwXqh3xp8hThQlDQH6wLJo39eS02,2024-06-01,37.0,76039.734
IwXqh3xp8hThQlDQH6wLJo39eS02,2024-06-01,38.0,2369.932
IwXqh3xp8hThQlDQH6wLJo39eS02,2024-06-01,39.0,2653.8759999999997
IwXqh3xp8hThQlDQH6wLJo39eS02,2024-06-03,40.0,181168.78399999999
IwXqh3xp8hThQlDQH6wLJo39eS02,2024-06-03,41.0,8411.046
IwXqh3xp8hThQlDQH6wLJo39eS02,2024-06-04,42.0,53201.577
IwXqh3xp8hThQlDQH6wLJo39eS02,2024-06-05,43.0,106297.391
IwXqh3xp8hThQlDQH6wLJo39eS02,2024-06-05,44.0,26462.852
IwXqh3xp8hThQlDQH6wLJo39eS02,2024-06-07,45.0,161138.57100000003
IwXqh3xp8hThQlDQH6wLJo39eS02,2024-06-09,46.0,154026.65199999997
J8FQbcWNUUhOw7NDUBjnsI44b4t2,2024-05-13,1.0,0.0
J8FQbcWNUUhOw7NDUBjnsI44b4t2,2024-05-16,2.0,244366.58
J8FQbcWNUUhOw7NDUBjnsI44b4t2,2024-05-16,3.0,3274.6989999999996
J8FQbcWNUUhOw7NDUBjnsI44b4t2,2024-05-17,4.0,58220.708999999995
J8FQbcWNUUhOw7NDUBjnsI44b4t2,2024-05-23,5.0,518646.22500000003
J8FQbcWNUUhOw7NDUBjnsI44b4t2,2024-05-24,6.0,109760.816
J8FQbcWNUUhOw7NDUBjnsI44b4t2,2024-05-24,7.0,3432.57
J8FQbcWNUUhOw7NDUBjnsI44b4t2,2024-05-25,8.0,79027.883
J8FQbcWNUUhOw7NDUBjnsI44b4t2,2024-05-28,9.0,267724.048
J8FQbcWNUUhOw7NDUBjnsI44b4t2,2024-05-29,10.0,76932.18000000001
J8FQbcWNUUhOw7NDUBjnsI44b4t2,2024-06-03,11.0,430493.673
J8FQbcWNUUhOw7NDUBjnsI44b4t2,2024-06-03,12.0,15817.609
J8FQbcWNUUhOw7NDUBjnsI44b4t2,2024-06-05,13.0,166072.60400000002
J8FQbcWNUUhOw7NDUBjnsI44b4t2,2024-06-05,14.0,3521.954
J8FQbcWNUUhOw7NDUBjnsI44b4t2,2024-06-05,15.0,10389.253999999999
J8FQbcWNUUhOw7NDUBjnsI44b4t2,2024-06-07,16.0,145813.514
J8FQbcWNUUhOw7NDUBjnsI44b4t2,2024-06-10,17.0,256425.796
Mdfom8mcVVZZ2iOaz2oJuUp9mhC2,2024-06-03,1.0,312.438
NaPJhyyglGO5W5en9C6P4BoUXof2,2024-05-24,1.0,479.259
O2XVZMacTGYqtKj6BTP6oJPX9cq2,2024-05-23,1.0,368.58
O2XVZMacTGYqtKj6BTP6oJPX9cq2,2024-05-23,2.0,4596.66
OFfw0tOPqLfFbMCfwNoVYcxKNJf1,2024-05-24,1.0,98.35799999999999
PhNla2yiuRWfsVIdLT68ziekaVo2,2024-06-03,1.0,26.708000000000002
Px1wmpnT77OiXkoKZypvrs9YiIa2,2024-05-29,1.0,778.116
QngL02SxlmNaCVZS1677HBg6lEX2,2024-05-26,1.0,0.843
RM7mi4SVvGhIydxwmmt6djQQL3D3,2024-06-02,1.0,354.664
RM7mi4SVvGhIydxwmmt6djQQL3D3,2024-06-09,2.0,612173.3759999999
RPS3Z11YiGgEf0wCKcGp6lBu1a02,2024-05-27,1.0,184.758
SF41IxDyM4RSbTEsLNV1TP7JhdE2,2024-04-26,1.0,212.277
SF41IxDyM4RSbTEsLNV1TP7JhdE2,2024-04-26,2.0,41306.669
SF41IxDyM4RSbTEsLNV1TP7JhdE2,2024-05-04,3.0,672598.9110000001
SF41IxDyM4RSbTEsLNV1TP7JhdE2,2024-05-16,4.0,1021429.895
SF41IxDyM4RSbTEsLNV1TP7JhdE2,2024-05-17,5.0,77544.975
SQlkjK4nySfJCuLT6DS4IdvURCC3,2024-05-14,1.0,4.533
TFCnSLH5dVabxpq36iEALmmsVgn1,2024-05-16,1.0,1594.6779999999999
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,2024-05-03,1.0,2.864
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,2024-05-04,2.0,99569.772
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,2024-05-04,3.0,3249.596
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,2024-05-04,4.0,7222.01
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,2024-05-04,5.0,2685.3149999999996
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,2024-05-10,6.0,512544.355
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,2024-05-14,7.0,320592.139
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,2024-05-14,8.0,34690.297
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,2024-05-15,9.0,56142.049
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,2024-05-15,10.0,3928.936
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,2024-05-15,11.0,16915.406
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,2024-05-15,12.0,4040.153
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,2024-05-15,13.0,8836.529
