body,idPrestataire,isRead,title,idTransaction,updatedAt,uid,createdAt
Visitez votre application afin de découvrir nos nouveaux prestataires.,,False,Nouveaux Prestataires,,1714834182489,AuvUhUc2F2gK3p8fwz1okXLk97s1,1714834182489
Visitez votre application afin de découvrir nos nouveaux prestataires.,,False,Nouveaux Prestataires,,1714834182556,khNfXYeYQvbNJROSNr5bgKnp3w72,1714834182556
Visitez votre application afin de découvrir nos nouveaux prestataires.,,False,Nouveaux Prestataires,,1714834182493,PZmbX78cpjZ3h1IOpBVvuIZXmkM2,1714834182493
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407140,p2WUlaMUTKg8Vo7f2EXf3FrwyJ62,1714834407140
Visitez votre application afin de découvrir nos nouveaux prestataires.,,False,Nouveaux Prestataires,,1714834182497,C8oYWOSz3qQYIQgash2MYZeELoR2,1714834182497
Visitez votre application afin de découvrir nos nouveaux prestataires.,,False,Nouveaux Prestataires,,1714834182545,JSGs3KaZpNetp0MDBfEjj9Hih313,1714834182545
Vous avez reçu une DEMANDE de paiement,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,True,Demande de kamssu,GfwgI1Pxde9LVzhd41Ne1709473064814,1709473079200,z5Vl3tUSRgalHfSho6JFNkpjxpn1,1709473070736
Transaction FINALISÉE par le Prestataire,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,True,La prestation a été REALISÉE par le prestataire HOUSE INNOVATION/IT SERVICES/DOUALA,ZmQzks0qOcu99YOxKMBT1715765761519,1715784792373,z5Vl3tUSRgalHfSho6JFNkpjxpn1,1715784381923
Transaction FINALISÉE par le Prestataire,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,True,La prestation a été REALISÉE par le prestataire HOUSE INNOVATION/IT SERVICES/DOUALA,uOG7s8xqCNZSa8Y2GEsI1709474877962,1709495200536,z5Vl3tUSRgalHfSho6JFNkpjxpn1,1709495037677
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407095,7LaYbgSOXCSVER4pvyuaOdzKDlo2,1714834407095
