uid,date,session_id,session_start,session_end,session_duration_in_seconds,visited_pages
6DzqFENos7TWPBAQYq6DB04O8fC3,2024-05-19,1.0,2024-05-19 20:45:11.963,2024-05-19 20:45:24.604,12.641,['codePinPage']
6DzqFENos7TWPBAQYq6DB04O8fC3,2024-05-22,2.0,2024-05-22 19:29:06.844,2024-05-22 19:36:13.662,426.818,[]
6DzqFENos7TWPBAQYq6DB04O8fC3,2024-05-28,3.0,2024-05-28 10:15:29.567,2024-05-28 10:15:29.567,0.0,[]
6DzqFENos7TWPBAQYq6DB04O8fC3,2024-05-31,4.0,2024-05-31 16:40:18.706,2024-05-31 16:51:39.320,680.614,"['codePinPage', 'codePinPage', 'codePinPage', 'prestataireHomePage', 'prestataireHomePage']"
7odmEfSWmpOK0yXpKAux6oD84n33,2024-06-03,1.0,2024-06-03 21:07:43.178,2024-06-03 21:15:07.568,444.39,"['userListePrestatairePage', 'codePinPage', 'userListePrestatairePage', 'codePinPage', 'userHomePage', 'codePinPage', 'userListePrestatairePage', 'userHomeScreenPage', 'userListePrestatairePage', 'userListePrestatairePage', 'userHomeScreenPage', 'userContactPage', 'userListePrestatairePage', 'userHomePage', 'userListePrestatairePage', 'userConversationPage', 'userListePrestatairePage', 'userListePrestatairePage', 'userHomePage', 'userHomeScreenPage', 'userTransactionPage', 'userListePrestatairePage', 'userHomeScreenPage']"
87e8FtLhawXUWZ2rR1FXpBZ2Mtz2,2024-05-18,1.0,2024-05-18 14:11:49.258,2024-05-18 14:12:20.766,31.508,"['userPrestataireDetailPage', 'userListePrestatairePage', 'userPanierPage', 'userListePrestatairePage']"
87e8FtLhawXUWZ2rR1FXpBZ2Mtz2,2024-05-18,2.0,2024-05-18 14:56:26.472,2024-05-18 15:26:27.548,1801.076,"['userHomePage', 'userHomePage', 'userHomeScreenPage', 'userListePrestatairePage', 'codePinPage', 'codePinPage', 'userHomePage', 'userHomeScreenPage', 'codePinPage', 'codePinPage', 'codePinPage', 'userHomePage', 'userListePrestatairePage', 'codePinPage', 'userPrestataireDetailPage', 'userListePrestatairePage', 'userHomeScreenPage', 'codePinPage', 'codePinPage', 'userPrestataireDetailPage', 'userHomeScreenPage', 'userHomeScreenPage', 'codePinPage', 'userHomePage', 'codePinPage', 'userHomeScreenPage', 'userPrestataireDetailPage', 'userListePrestatairePage', 'userHomePage', 'userListePrestatairePage', 'codePinPage', 'userListePrestatairePage', 'userListePrestatairePage']"
87e8FtLhawXUWZ2rR1FXpBZ2Mtz2,2024-05-18,3.0,2024-05-18 16:14:35.614,2024-05-18 16:26:20.327,704.713,"['codePinPage', 'codePinPage', 'codePinPage', 'codePinPage', 'codePinPage', 'codePinPage']"
87e8FtLhawXUWZ2rR1FXpBZ2Mtz2,2024-05-18,4.0,2024-05-18 18:06:52.688,2024-05-18 18:06:52.907,0.219,"['codePinPage', 'codePinPage']"
87e8FtLhawXUWZ2rR1FXpBZ2Mtz2,2024-05-18,5.0,2024-05-18 18:40:36.008,2024-05-18 18:55:50.916,914.908,"['codePinPage', 'codePinPage', 'codePinPage', 'codePinPage', 'codePinPage', 'codePinPage', 'codePinPage']"
87e8FtLhawXUWZ2rR1FXpBZ2Mtz2,2024-06-09,6.0,2024-06-09 04:11:31.942,2024-06-09 04:27:21.960,950.018,"['userPrestataireDetailPage', 'userListePrestatairePage', 'userListePrestatairePage', 'userPrestataireDetailPage', 'codePinPage', 'userPanierPage']"
8H4CV34KQHgrMj1DLy4J2NwlF5e2,2024-05-29,1.0,2024-05-29 10:59:31.629,2024-05-29 11:02:48.105,196.476,"['userHomeScreenPage', 'userPrestataireDetailPage', 'userPanierPage', 'userListePrestatairePage', 'userHomePage']"
8H4CV34KQHgrMj1DLy4J2NwlF5e2,2024-05-30,2.0,2024-05-30 14:49:18.535,2024-05-30 14:51:57.892,159.357,"['userListePrestatairePage', 'userPanierPage', 'userListePrestatairePage', 'userListePrestatairePage', 'userPrestataireDetailPage', 'userPanierPage']"
914umpyeZkY5lglo8KGumeZWF002,2024-04-20,1.0,2024-04-20 11:06:12.687,2024-04-20 11:06:12.716,0.029,[]
914umpyeZkY5lglo8KGumeZWF002,2024-04-20,2.0,2024-04-20 12:31:28.429,2024-04-20 12:31:28.429,0.0,[]
914umpyeZkY5lglo8KGumeZWF002,2024-04-24,3.0,2024-04-24 19:22:07.543,2024-04-24 19:22:07.543,0.0,[]
914umpyeZkY5lglo8KGumeZWF002,2024-04-29,4.0,2024-04-29 10:12:55.128,2024-04-29 10:47:11.872,2056.744,"['userListePrestatairePage', 'userPanierPage', 'userHomePage', 'userHomeScreenPage', 'userHomeScreenPage', 'userPanierPage', 'userHomeScreenPage', 'codePinPage', 'userPanierPage', 'userPanierPage', 'userListePrestatairePage', 'userHomePage', 'userPrestataireDetailPage', 'codePinPage', 'userHomePage', 'userPrestataireDetailPage', 'codePinPage', 'userListePrestatairePage', 'codePinPage', 'userListePrestatairePage', 'userPrestataireDetailPage']"
914umpyeZkY5lglo8KGumeZWF002,2024-04-29,5.0,2024-04-29 16:48:23.643,2024-04-29 16:50:44.862,141.219,"['userPrestataireDetailPage', 'userHomeScreenPage', 'codePinPage', 'userPanierPage', 'userPanierPage', 'userPrestataireDetailPage', 'userListePrestatairePage', 'userHomePage']"
914umpyeZkY5lglo8KGumeZWF002,2024-05-02,6.0,2024-05-02 09:31:07.918,2024-05-02 09:48:32.478,1044.56,['codePinPage']
914umpyeZkY5lglo8KGumeZWF002,2024-05-02,7.0,2024-05-02 11:01:10.275,2024-05-02 11:01:10.275,0.0,[]
914umpyeZkY5lglo8KGumeZWF002,2024-05-02,8.0,2024-05-02 12:30:16.395,2024-05-02 12:31:37.611,81.216,"['userFilterPage', 'codePinPage', 'userHomePage', 'userHomeScreenPage']"
914umpyeZkY5lglo8KGumeZWF002,2024-05-02,9.0,2024-05-02 13:39:03.906,2024-05-02 13:39:03.906,0.0,[]
914umpyeZkY5lglo8KGumeZWF002,2024-05-03,10.0,2024-05-03 15:17:01.549,2024-05-03 15:17:01.549,0.0,[]
914umpyeZkY5lglo8KGumeZWF002,2024-05-04,11.0,2024-05-04 11:34:48.455,2024-05-04 11:34:48.455,0.0,[]
914umpyeZkY5lglo8KGumeZWF002,2024-05-04,12.0,2024-05-04 12:20:59.257,2024-05-04 12:25:49.566,290.309,"['userContactPage', 'userHomePage', 'userHomeScreenPage']"
914umpyeZkY5lglo8KGumeZWF002,2024-05-04,13.0,2024-05-04 14:37:46.804,2024-05-04 14:37:46.804,0.0,[]
